Site.Code,Round,Name,SiteRound,Date,Year,Month,Day,Time.Start,Time.Stop,Survey.Time,Observers,Pond.Type,Lat,Long,Easting,Northing,Property.Owner,HUC10.Name,HUC12.Name,Nearest,Area,Elevevation,Pond.Made,Source,Developed200m,Forest200m,Wetlands200m,Lawn200m,HerbScrub200m,Water200m,Developed500m,Forest500m,Wetlands500m,Lawn500m,HerbScrub500m,Water500m,Barren.Land.1000m,Cultivated.Crops.1000m,Deciduous.Forest.1000m,Developed.High.Intensity.1000m,Developed.Low.Intensity.1000m,Developed.Medium.Intensity.1000m,Developed.Open.Space.1000m,Emergent.Herbaceuous.Wetlands.1000m,Evergreen.Forest.1000m,Hay.Pasture.1000m,Herbaceuous.1000m,Mixed.Forest.1000m,Open.Water.1000m,Shrub.Scrub.1000m,Woody.Wetlands.1000m,Developed1000m,Forest1000m,Wetlands1000m,Lawn1000m,HerbScrub1000m,Water1000m,Air.Temp,Wind,Humidity,Clouds,In.OutFlow,Canopy.Cover,Water.Temp,Conductivity,Sp.Condunctivity,DO.p,DO.mg,Salinity,Chloride,Turbidity,pH,av.DO,av.DOp,av.SpC,av.pH,av.Sal,av.Turb,av.temp,av.Chlor,Nitrate,People,Perc.Open.Water,Perc.Emergent,Perc.Total.Floating,Perc.Substrate,Perc.Submergent,Substrate,Surface.Heterogeneity ,Sub.Heterogeneity ,Sub.Score,Woody.Debris,Hab.Complexity,av.HC,Notes.2020,Notes.2019,Total.Rich.Native,Plant.Rich,Invert.Rich,Fish.Rich,Vert.Rich,Animal.Rich,Inv.Fish.Rich,Total.Rich,Inv.Fish.P,Herp.Rich,Amphib.Rich,L.clamitans,L.catesbeiana,A.americanus,L.pipiens,H.versicolor,L.palustris,P.maculata,P.crucifer,N.viridescens,Lithobates.spp,Turtles,C.picta,C.serpentina,E.blandingii,Turtle.Rich,Snakes,Fish,C.inconstans,U.limi,P.promelas,N.cornutus,Sm.Unidentified,Lg.Unidentified,L.gibbosus,L.macrochirus,A.melas,C.auratus,Lepomis.spp,L.cyanellus,M.salmoides,C.carpio,Amphipoda.Hyalellidae,Arachnida.Pisauridae,Bivalvia.Sphaeriidae,Bivalvia.Unionidae,Cladocera.spp,Coleoptera.Curculionoidea,Coleoptera.Dytiscidae,Coleoptera.Gyrinidae,Coleoptera.Haliplidae,Coleoptera.Hydrophilidae,Coleoptera.Lampyridae,Coleoptera.Scirtidae,Coleoptera.spp,Collembola.spp,Copepoda.spp,Decapoda.Cambaridae,Diptera.Ceratopogonidae,Diptera.Chaoboridae,Diptera.Chironomidae,Diptera.Culicidae,Diptera.Dixidae,Diptera.Dolichopodidae,Diptera.Ephydridae,Diptera.Psychodidae,Diptera.Sciomyzidae,Diptera.Stratiomyidae,Diptera.Tabanidae,Diptera.Tanyderidae,Diptera.Tipulidae,Diptera.spp,Ephemeroptera.Baetidae,Ephemeroptera.Caenidae,Ephemeroptera.Siphlonuridae,Gastropoda.Ancylidae,Gastropoda.Lymnaeidae,Gastropoda.Physidae,Gastropoda.Planorbidae,Gastropoda.Viviparidae,Hemiptera.Belostomatidae,Hemiptera.Corixidae,Hemiptera.Gerridae,Hemiptera.Mesoveliidae,Hemiptera.Nepidae,Hemiptera.Notonectidae,Hemiptera.Pleidae,Hemiptera.Saldidae,Hemiptera.spp,Hemiptera.Veliidae,Hirudinea.spp,Hydrachnidiae.spp,Isopoda.Asellidae,Lepidoptera.Pyralidae,Odonata.Aeshnidae,Odonata.Coenagrionidae,Odonata.Lestidae,Odonata.Libellulidae,Odonata.spp,Ostracod.spp,Plecoptera.Perlodidae,Trichoptera.Hydroptilidae,Trichoptera.Leptoceridae,Inverts.SEINE,Seine.Distance,Notes.Sweep.Seine,Potamogeton.nodosus,Phalaras.arundinacea,Eleocharis.spp,Ceratophyllum.demersum,Myriophyllum.spicatum,Polygonum.pensylvanicum,Aster.spp,Iris.versicolor,Potamogeton.foliosus,Typha.spp,Sparganium.spp,Scirpus.validus,Carex.spp,Lemna.minor,Sagittaria.latifolia,Elodia.canadensis,Wolffia.columbiana,Stuckenia.pectinata,Sagittaria.cuneata,Alisma.spp,Scirpus.spp,Scirpus.cyperinus,Riccia.fluitans,Potamogeton.spp,Salix.spp,Juncus.effiusus,Lemna.trisula,Drepanocladus.spp,Chara.contraria,Polygonum.amphibium,Ranunculus.sceleratus,Typha.angustifolia,Chara.globularis,Potamogeton.crispus,Phragmites.australis,Utricularia.macrorhiza,Typha.latifolia,Cicuta.bulbifera,Eleocharis.acicularis,Scirpus.fluviatilis,Scirpus.actutus,Spirodela.polyrhiza,Ludwigia.palustris,Vallisneria.americana,Acorus.calamus,Sparganium.eurycarpum,Eleocharis.palustris,Ranunculus.aquatilis,Poa.spp,Chara.spp,Chara.braunii,Myriophyllum.spp,Najas.flexilis,Nuphar.variegata,Pontederia.cordata,Nitella.flexilis,Elodia.nuttalli,Nymphaea.odorata,Potamogeton.zosteriformis,Scirpus.americanus,Lythrum.salicaria,Lycopus.americanus,Nasturtium.officinale,Impatiens.capensis,Sparganium.angustifolium,Ranunculus.flabellaris,Stuckenia.filiformis,Callitriche.palustris,Zannichellia.palustris
ALC,3,Alliant Center Pond,ALC_3,5/26/2020,2020,5,26,8:37:00,9:44:00,1:07,DCT,Urban,43.04651292,-89.37525752,306538.9061,4768718.054,COLISEUM DANE CO,Lake Monona-Yahara River,Lake Monona-Yahara River,117.91,3189,NA,1974,Stormwater,0.820143885,0,0.09352518,0.086330935,0,0,0.629885057,0.157471264,0.08045977,0.050574713,0.035632184,0.045977011,0.00114482,0.007727533,0.074699485,0.162278191,0.194046938,0.18374356,0.088437321,0.01688609,0.001431025,0.058672009,0.002862049,0.040927304,0.160847167,0,0.006296508,0.540068689,0.117057813,0.023182599,0.088437321,0.069261591,0.160847167,23,7,74,50,5,1,24.1,560,570,118.6,9.67,0.28,242.15,154.3,8.95,5.51,66.15,497.58,8.34,0.24,188.85,22.73,167.87,NA,0,95,4,1,15,85,"Mud,Vegetation,Rock ",1,2,2,2,1.75,1.88,"Surprisingly gorgeous pond- lots of submergent, emergent plant varieties, little trash and Ephemeroptera, trichoptera and damselflies.",NA,49,15,27,4,7,34,0,49,0,3,2,1,0,0,0,0,0,0,0,0,NA,"Painted,,,,",1,0,0,1,NA,"Yes, small,,,,",0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALC,4,Alliant Center Pond,ALC_4,7/20/2020,2020,7,20,7:45:00,8:43:00,0:58,DCT,Urban,43.04651292,-89.37525752,306538.9061,4768718.054,COLISEUM DANE CO,Lake Monona-Yahara River,Lake Monona-Yahara River,117.91,3189,NA,1974,Stormwater,0.820143885,0,0.09352518,0.086330935,0,0,0.629885057,0.157471264,0.08045977,0.050574713,0.035632184,0.045977011,0.00114482,0.007727533,0.074699485,0.162278191,0.194046938,0.18374356,0.088437321,0.01688609,0.001431025,0.058672009,0.002862049,0.040927304,0.160847167,0,0.006296508,0.540068689,0.117057813,0.023182599,0.088437321,0.069261591,0.160847167,21,4,75,1,5,3,23,348.2,361.7,8.2,0.68,0.17,5.53,297.1,7.72,5.51,66.15,497.58,8.34,0.24,188.85,22.73,167.87,NA,0,30,5,65,5,95,"Firm Soil,Rock ,NA",3,1,2,2,2,1.88,"Thick Elodia throughout water column up to surface with floating algae on top. Steepbank with a variety of emergent in thin strip around pond surrounded by rock rip-rap. Fountain actively going, tons of amphipods.",NA,49,15,27,4,7,34,0,49,0,3,2,1,0,0,0,0,0,0,0,0,NA,"Painted,,,,NA",1,0,0,1,NA,"Shiners, Brook Stickleback,,,,NA",1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALC,1,Alliant Center Pond,ALC_1,6/18/2019,2019,6,18,13:57:00,14:45:00,0:48,"DP,EC,CL",Urban,43.04651292,-89.37525752,306538.9061,4768718.054,COLISEUM DANE CO,Lake Monona-Yahara River,Lake Monona-Yahara River,117.91,3189,258,1974,Stormwater,0.820143885,0,0.09352518,0.086330935,0,0,0.629885057,0.157471264,0.08045977,0.050574713,0.035632184,0.045977011,0.00114482,0.007727533,0.074699485,0.162278191,0.194046938,0.18374356,0.088437321,0.01688609,0.001431025,0.058672009,0.002862049,0.040927304,0.160847167,0,0.006296508,0.540068689,0.117057813,0.023182599,0.088437321,0.069261591,0.160847167,NA,NA,NA,95,NA,9,19.7,813,904,70.2,6.21,0.45,242.87,154.2,NA,5.51,66.15,497.58,8.34,0.24,188.85,22.73,167.87,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"has fountain, possible other types of fish",49,15,27,4,7,34,0,49,0,3,2,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,NA,"minnows,sunfish",0,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALC,2,Alliant Center Pond,ALC_2,7/19/2019,2019,7,19,10:09:00,10:25:00,0:16,"EC,CL,BC",Urban,43.04651292,-89.37525752,306538.9061,4768718.054,COLISEUM DANE CO,Lake Monona-Yahara River,Lake Monona-Yahara River,117.91,3189,262,1974,Stormwater,0.820143885,0,0.09352518,0.086330935,0,0,0.629885057,0.157471264,0.08045977,0.050574713,0.035632184,0.045977011,0.00114482,0.007727533,0.074699485,0.162278191,0.194046938,0.18374356,0.088437321,0.01688609,0.001431025,0.058672009,0.002862049,0.040927304,0.160847167,0,0.006296508,0.540068689,0.117057813,0.023182599,0.088437321,0.069261591,0.160847167,27,3,78,100,NA,9,24.1,152,154.6,67.6,5.48,0.07,18.59,149.8,NA,5.51,66.15,497.58,8.34,0.24,188.85,22.73,167.87,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lots of veg cut down since first round,49,15,27,4,7,34,0,49,0,3,2,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,NA,minnow sp.,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,slugs,0,slugs may have been washed in?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWP-ARB,3,Arboretum Stormwater Pond,SWP-ARB_3,5/16/2020,2020,5,16,9:22:00,10:12:00,0:50,DCT,Green Space,43.03666602,-89.4243379,302509.6194,4767738.857,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,8.33,558,NA,2010,Stormwater,0.459854015,0.094890511,0.350364964,0.03649635,0.058394161,0,0.53272101,0.052812859,0.306544202,0.019517796,0.086107922,0.001148106,0.000573,0.040137615,0.11668578,0.096616972,0.192087156,0.137327982,0.136754587,0.039277523,0.006880734,0.054759174,0.001433486,0.035550459,0.00086,0,0.141055046,0.42603211,0.159116972,0.180332569,0.136754587,0.096330275,0.00086,13,10,74,75,5,0,17.1,371.7,437.4,59.2,5.56,0.21,500.21,168.6,7.29,4.14,46.55,1262.35,7.2,0.64,166.18,20.68,515,NA,0,80,10,10,95,5,"Mud,,NA",3,1,1,0,1.25,2.25,"No amphibians observed in pond, although numerous ranid tadpoles seen in both the pond to north and outflow pond.",NA,41,14,23,0,4,27,0,41,0,4,3,0,0,0,0,0,0,0,0,0,NA,"Painted,,,,NA",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWP-ARB,4,Arboretum Stormwater Pond,SWP-ARB_4,7/9/2020,2020,7,9,6:10:00,6:54:00,0:44,DCT,Green Space,43.03666602,-89.4243379,302509.6194,4767738.857,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,8.33,558,NA,2010,Stormwater,0.459854015,0.094890511,0.350364964,0.03649635,0.058394161,0,0.53272101,0.052812859,0.306544202,0.019517796,0.086107922,0.001148106,0.000573,0.040137615,0.11668578,0.096616972,0.192087156,0.137327982,0.136754587,0.039277523,0.006880734,0.054759174,0.001433486,0.035550459,0.00086,0,0.141055046,0.42603211,0.159116972,0.180332569,0.136754587,0.096330275,0.00086,23,2,89,10,5,0,22.7,805,842,2.9,0.25,0.41,232.25,313.9,7.1,4.14,46.55,1262.35,7.2,0.64,166.18,20.68,515,NA,0,50,15,35,56,44,"Firm Soil,Leaf Litter,NA",5,5,2,1,3.25,2.25,Water clear but filled with trash. Lots of deer beds. Green juvs. Water at NHWL. Variety of emergent but mostly typha in the water.,NA,41,14,23,0,4,27,0,41,0,4,3,1,0,0,0,1,0,0,0,0,NA,"Painted,,,,NA",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SWP-ARB,1,Arboretum Stormwater Pond,SWP-ARB_1,5/29/2019,2019,5,29,13:02:00,14:05:00,1:03,"DP,ES,EC,EP",Green Space,43.03666602,-89.4243379,302509.6194,4767738.857,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,8.33,558,NA,2010,Stormwater,0.459854015,0.094890511,0.350364964,0.03649635,0.058394161,0,0.53272101,0.052812859,0.306544202,0.019517796,0.086107922,0.001148106,0.000573,0.040137615,0.11668578,0.096616972,0.192087156,0.137327982,0.136754587,0.039277523,0.006880734,0.054759174,0.001433486,0.035550459,0.00086,0,0.141055046,0.42603211,0.159116972,0.180332569,0.136754587,0.096330275,0.00086,19,2,70,62,NA,7,18.9,1460,1652,83,7.4,0.84,337.66,80.82,NA,4.14,46.55,1262.35,7.2,0.64,166.18,20.68,515,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No recorded distance for zoop. Tow 3, No substrate recorded, No perimeter recorded, Elevation incorrect, Toad tadpoles present in small, adjacent pond",41,14,23,0,4,27,0,41,0,4,3,1,0,0,0,0,0,0,0,0,1,Painted,1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWP-ARB,2,Arboretum Stormwater Pond,SWP-ARB_2,7/17/2019,2019,7,17,8:54:00,9:11:00,0:17,"EC,CL,EP",Green Space,43.03666602,-89.4243379,302509.6194,4767738.857,UNIV OF WIS REGENTS,Lake Monona-Yahara River,Lake Monona-Yahara River,8.33,558,261,2010,Stormwater,0.459854015,0.094890511,0.350364964,0.03649635,0.058394161,0,0.53272101,0.052812859,0.306544202,0.019517796,0.086107922,0.001148106,0.000573,0.040137615,0.11668578,0.096616972,0.192087156,0.137327982,0.136754587,0.039277523,0.006880734,0.054759174,0.001433486,0.035550459,0.00086,0,0.141055046,0.42603211,0.159116972,0.180332569,0.136754587,0.096330275,0.00086,26,3,70,1,NA,12,24,2076,2118,41.1,3.34,1.08,707.13,101.4,NA,4.14,46.55,1262.35,7.2,0.64,166.18,20.68,515,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other larve=very tiny toad-like tads with visible intestines,41,14,23,0,4,27,0,41,0,4,3,1,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odonata,Belestoma",13,other amphibian=tiny toad like tad with visible intestines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AV,3,Avalon,AV_3,5/25/2020,2020,5,25,14:00:00,14:25:00,0:25,DCT,Urban,43.00460131,-89.50442667,295878.9128,4764369.509,CITY OF MADISON ENGINEER STORMWATER UTILITY 533,Headwaters Sugar River,Badger Mill Creek,277.75,424,NA,2000,Stormwater,0.685714286,0,0,0.235714286,0.078571429,0,0.546605293,0.003452244,0,0.14269275,0.300345224,0.006904488,0.000573,0.062732741,0.008879977,0.00658837,0.236321971,0.273560584,0.122028072,0.00343741,0,0.268404469,0.005729017,0,0.011744486,0,0,0.516470925,0.008879977,0.00343741,0.122028072,0.336866227,0.011744486,28,13,57,20,1,0,23.4,109,112.5,45.9,3.77,0.05,149.22,NA,6.96,2.35,27.8,108.5,6.86,0.05,189.13,21.7,53.11,NA,0,65,20,15,100,0,"Mud,Leaf Litter,",4,1,2,0,1.75,1.5,"Deep leaf litter, trash substrate. Clear water",NA,28,10,15,0,3,18,0,28,0,3,2,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV,4,Avalon,AV_4,7/29/2020,2020,7,29,8:12:00,9:04:00,0:52,DCT,Urban,43.00460131,-89.50442667,295878.9128,4764369.509,CITY OF MADISON ENGINEER STORMWATER UTILITY 533,Headwaters Sugar River,Badger Mill Creek,277.75,424,NA,2000,Stormwater,0.685714286,0,0,0.235714286,0.078571429,0,0.546605293,0.003452244,0,0.14269275,0.300345224,0.006904488,0.000573,0.062732741,0.008879977,0.00658837,0.236321971,0.273560584,0.122028072,0.00343741,0,0.268404469,0.005729017,0,0.011744486,0,0,0.516470925,0.008879977,0.00343741,0.122028072,0.336866227,0.011744486,23,1,75,0,1,0,22,89,94.5,20.9,1.76,0.04,5.08,253.1,6.75,2.35,27.8,108.5,6.86,0.05,189.13,21.7,53.11,NA,0,5,30,65,100,0,"Leaf Litter,Rock ,Sand",1,1,3,0,1.25,1.5,"Millions of mosquito larvae, almost no other insects seen. Substrate is gravel covered with typha leaf litter and smells terrible. Plenty of frogs but no larvae, no submerged detected. Sphaeridae and corixidae, only invert detected.",NA,28,10,15,0,3,18,0,28,0,3,2,1,1,0,0,0,0,0,0,0,NA,"Painted,,,,",1,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
