sampleid,pond,doy,year,time,secchi_lower_m,secchi_raise_m,secchi_bottom,maxdepth_m,zoopdepth_m,birdcount,precip,cloudcover_perc,recreators,icedepth_m,blackicedepth_m,whiteicedepth_m,snowdepth_m,notes
P22-124-S0-C,Strickers,124,2022,10:32,0.2,0.15,N,1,NA,1,N,0,NA,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0.2,0.2,N,1,1,45,N,10,NA,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0.2,0.2,N,0.8,0.75,40,N,0,30,NA,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0.14,0.14,N,0.75,0.5,2,N,80,2,NA,NA,NA,NA,
P22-143-S0-C,Strickers,143,2022,9:33,0.4,0.35,N,1,0.75,8,N,5,5,NA,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0.4,0.3,N,NA,NA,7,N,40,7,NA,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0.1,0.1,N,0.75,0.75,3,N,100,10,NA,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0.3,0.25,N,1.1,1,8,N,100,5,NA,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0.15,0.1,N,0.75,0.75,10,N,20,2,NA,NA,NA,NA,
P22-158-T0-C,Tiedemans,158,2022,11:34,0.2,0.2,N,1,0.5,15,N,75,5,NA,NA,NA,NA,
P22-164-S0-C,Strickers,164,2022,10:43,0.12,0.1,N,1,0.5,25,N,100,10,NA,NA,NA,NA,
P22-164-T0-C,Tiedemans,164,2022,10:43,0.15,0.15,N,1,0.5,0,Y,100,0,NA,NA,NA,NA,
P22-171-S0-C,Strickers,171,2022,9:05,0.2,0.15,N,1.2,0.5,12,N,0,3,NA,NA,NA,NA,
P22-171-T0-C,Tiedemans,171,2022,9:05,0.22,0.2,N,1.2,0.4,10,N,0,3,NA,NA,NA,NA,
P22-178-S0-C,Strickers,178,2022,10:30,0.1,0.05,N,1,0.2,25,N,0,8,NA,NA,NA,NA,
P22-178-T0-C,Tiedemans,178,2022,8:52,0.1,0.1,N,1.04,0.3,47,N,0,5,NA,NA,NA,NA,
P22-185-S0-C,Strickers,185,2022,9:00,0.05,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
P22-185-T0-C,Tiedemans,185,2022,9:00,0.05,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
P22-186-S0-C,Strickers,186,2022,10:30,0.05,0.05,N,0.8,0.3,27,N,55,5,NA,NA,NA,NA,
P22-186-T0-C,Tiedemans,186,2022,8:49,0.1,0.1,N,1.2,0.4,10,N,90,15,NA,NA,NA,NA,
P22-192-S0-C,Strickers,192,2022,9:10,0.075,0.05,N,1,0.5,8,N,100,7,NA,NA,NA,NA,
P22-192-T0-C,Tiedemans,192,2022,9:10,0.1,0.1,N,1,0.5,6,N,100,6,NA,NA,NA,NA,
P22-199-S0-C,Strickers,199,2022,11:00,0.08,0.05,N,1.02,0.4,37,N,2,3,NA,NA,NA,NA,
P22-199-T0-C,Tiedemans,199,2022,9:13,0.1,0.08,N,1.2,0.4,10,N,0,7,NA,NA,NA,NA,
P22-206-S0-C,Strickers,206,2022,10:38,0.05,0.05,N,0.75,0.4,10,N,0,7,NA,NA,NA,NA,
P22-206-T0-C,Tiedemans,206,2022,8:47,0.1,0.1,N,1,0.5,0,N,0,7,NA,NA,NA,NA,
P22-213-T0-C,Tiedemans,213,2022,9:14,0.1,0.05,N,1.3,0.5,9,N,98,4,NA,NA,NA,NA,
P22-213-S0-C,Strickers,213,2022,10:55,0.05,0.025,N,0.9,0.3,20,N,90,10,NA,NA,NA,NA,
P22-220-S0-C,Strickers,220,2022,11:44,0.05,0.05,N,1,0.5,5,N,100,9,NA,NA,NA,NA,
P22-220-T0-C,Tiedemans,220,2022,9:25,0.13,0.11,N,0.75,0.5,5,N,100,14,NA,NA,NA,NA,
P22-228-S0-C,Strickers,228,2022,10:47,0.05,0.05,N,1,0.5,2,N,10,10,NA,NA,NA,NA,
P22-228-T0-C,Tiedemans,228,2022,8:41,0.11,0.09,N,1,0.5,1,N,20,6,NA,NA,NA,NA,
P22-234-S0-C,Strickers,234,2022,10:30,0.08,0.05,N,1,0.5,0,N,10,3,NA,NA,NA,NA,
P22-234-T0-C,Tiedemans,234,2022,9:02,0.1,0.08,N,1.1,0.25,6,N,0,8,NA,NA,NA,NA,
P22-241-S0-C,Strickers,241,2022,10:47,0.05,0.05,N,1.02,NA,4,N,40,5,NA,NA,NA,NA,
P22-241-T0-C,Tiedemans,241,2022,9:11,0.2,0.1,N,0.75,NA,1,N,100,5,NA,NA,NA,NA,
P22-249-S0-C,Strickers,249,2022,11:15,0.1,0.05,N,0.96,0.25,1,N,10,2,NA,NA,NA,NA,
P22-249-T0-C,Tiedemans,249,2022,9:20,0.05,0.05,N,0.75,0.5,11,N,50,4,NA,NA,NA,NA,
P22-255-S0-C,Strickers,255,2022,11:10,0.05,0.05,N,1,0.75,1,N,100,0,NA,NA,NA,NA,
P22-255-T0-C,Tiedemans,255,2022,9:42,0.1,0.1,N,1,0.5,2,Y,100,1,NA,NA,NA,NA,
P22-262-S0-C,Strickers,262,2022,9:14,0.1,0.08,N,0.75,0.5,10,N,0,10,NA,NA,NA,NA,
P22-262-T0-C,Tiedemans,262,2022,9:14,0.1,0.05,N,0.75,0.25,5,N,0,4,NA,NA,NA,NA,
P22-269-S0-C,Strickers,269,2022,NA,0.05,0.05,N,1,0.5,20,N,80,6,NA,NA,NA,NA,
P22-269-T0-C,Tiedmans,269,2022,9:38,0.09,0.07,N,0.9,0.75,0,N,40,7,NA,NA,NA,NA,
P22-283-S0-C,Strickers,283,2022,NA,0.1,0.1,N,0.75,0.5,5,N,0,0,NA,NA,NA,NA,
P22-283-T0-C,Tiedmans,283,2022,9:11,0.07,0.05,N,0.9,0.5,0,N,0,0,NA,NA,NA,NA,
P22-297-S0-C,Strickers,297,2022,9:42,0.12,0.11,N,0.75,0.5,0,N,85,0,NA,NA,NA,NA,
P22-297-T0-C,Tiedmans,297,2022,9:42,0.1,0.08,N,0.75,0.5,2,N,75,5,NA,NA,NA,NA,
P22-311-S0-C,Strickers,311,2022,NA,0.07,0.07,N,1.1,0.75,85,N,0,6,NA,NA,NA,NA,
P22-311-T0-C,Tiedmans,311,2022,NA,0.15,0.18,N,1.1,75,0,N,0,1,NA,NA,NA,NA,3 muskrat dens
P22-336-T0-C,Tiedemans,336,2022,11:30,0.3,0.35,N,1.1,NA,0,N,50,2,0.08,0.08,0,0,
P23-025-S0-C,Strickers,25,2023,10:00,NA,NA,NA,1.2,NA,0,Y,100,0,0.16,0.02,0.14,0.02,
P23-025-T0-C,Tiedemans,25,2023,NA,0.75,0.75,Y,0.75,NA,0,Y,100,2,0.16,0.11,0.05,0.02,
P23-026-E0-C,Elver,26,2023,11:35,0.4,0.4,N,3,NA,0,Y,100,6,0.22,0.2,0.02,0.04,
P23-026-O0-C,Orchid,26,2023,9:15,0.4,0.3,Y,0.35,NA,0,Y,100,2,0.08,0.07,0.01,0.03,
P23-026-L0-C,Lakeview,26,2023,10:25,1.15,1.15,Y,1.15,0.06,0,Y,100,1,0.06,0.03,0.03,0,
P23-057-T0-C,Tiedemans,57,2023,9:25,0.55,0.54,N,1.1,NA,0,N,0,7,,,,,
P23-057-S0-C,Strickers,57,2023,10:43,0.4,0.35,N,1.2,NA,0,N,0,5,,,,,
P23-57-F0-S,Forebay,57,2023,11:54,,,,0.7,,,,,,0.17,0.02,0.15,0.005,
P23-082-S0-C,Strickers,82,2023,12:21,NA,NA,NA,NA,NA,5,N,100,10,NA,NA,NA,NA,
P23-082-T0-C,Tiedemans,82,2023,11:37,NA,NA,NA,NA,NA,10,N,100,2,NA,NA,NA,NA,
P23-082-L0-C,Lakeview,82,2023,10:55,NA,NA,NA,NA,NA,5,N,100,4,NA,NA,NA,NA,
P23-111-T0-C,Tiedemans,111,2023,9:15,0.25,0.25,N,1,0.75,8,N,10,15,Na,NA,A,NA,
P23-111-S0-C,Strickers,111,2023,9:15,0.15,0.15,N,1,0.75,3,N,100,NA,NA,NA,NA,NA,approx 15 dead snapping turtles
P23-111-W0-C,LakeviewWest,111,2023,12:27,0.35,0.35,N,1.25,1,1,N,10,2,NA,NA,NA,NA,
P23-118-T0-C,Tiedemans,118,2023,,0.1,0.1,N,9,0.5,300,N,25,24,NA,NA,NA,NA,
P23-118-S0-C,Strickers,118,2023,10:59,0.15,0.12,N,0.85,0.5,27,N,30,10,NA,NA,NA,NA,
P23-118-W0-C,LakeviewWest,118,2023,12:09,0.2,0.19,N,1.3,0.75,0,N,0,NA,,,,,
P23-124-S0-C,Strickers,124,2023,,0.13,0.1,N,0.9,0.5,2,N,5,4,,,,,
P23-124-T0-C,Tiedemans,124,2023,,0.12,0.1,N,0.8,0.5,6,N,5,7,,,,,
P23-124-W0-C,LakeviewWest,124,2023,,0.13,0.1,N,1.25,0.75,6,N,5,3,,,,,
P23-130-S0-C,Strickers,130,2023,,0.1,0.1,N,0.8,0.5,20,N,0,10,,,,,
P23-130-T0-C,Tiedemans,130,2023,9:00,0.15,0.15,N,0.8,0.5,13,N,5,5,,,,,
P23-130-W0-C,LakeviewWest,130,2023,11:20,0.4,0.35,N,1.2,0.75,0,N,0,5,,,,,
P23-136-S0-C,Strickers,136,2023,9:20,0.15,0.15,N,0.9,0.5,16,N,0,5,,,,,
P23-136-T0-C,Tiedemans,136,2023,,0.2,0.17,N,0.9,0.5,3,N,0,8,,,,,
P23-136-W0-C,LakeviewWest,136,2023,11:50,0.3,0.4,N,1.15,0.75,0,N,0,0,,,,,
