sampleID,pond,doy,year,time,depth_m,temp_C,do_sat,do_mgl,spcond_uScm,pH,chl_ugl,pc_ugl,
P22-124-S0-C,Strickers,124,2022,10:32,0,11.6,128.3,13.85,NA,NA,NA,NA,
P22-124-S0-C,Strickers,124,2022,10:32,0.25,11.4,131.7,14.4,NA,NA,NA,NA,
P22-124-S0-C,Strickers,124,2022,10:32,0.5,9.8,151.3,13.02,NA,NA,NA,NA,
P22-124-S0-C,Strickers,124,2022,10:32,0.75,9.5,107.6,12.25,NA,NA,NA,NA,
P22-124-S0-C,Strickers,124,2022,10:32,1,9,89.8,9.97,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0,14.7,152.1,15.4,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0.25,11.2,132.3,14.74,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0.5,9.6,121.2,13.95,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0.75,9.2,115.2,13.29,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0,25.3,149.7,12.15,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0.25,24,92.8,7.81,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0.5,22,26.9,1.76,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0.75,21.4,12.1,1.02,NA,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0,26.6,101.6,8.61,460.3,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0.25,26,67.6,5.51,426.6,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0.5,25.5,40.6,3.3,426.6,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0.75,25.7,31.7,3.06,425.2,NA,NA,NA,
P22-143-S0-C,Strickers,143,2022,9:33,0.25,16.7,152.6,14.67,432.1,NA,NA,NA,
P22-143-S0-C,Strickers,143,2022,9:33,0.5,16.4,136.2,13.3,437.6,NA,NA,NA,
P22-143-S0-C,Strickers,143,2022,9:33,0.75,15.2,132.2,13.26,426.8,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0,17.6,73.8,7,526,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0.25,17.2,69.9,6.72,519,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0.5,16.9,71.2,6.89,504,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0.75,16.8,64.8,6.27,501,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0,22.5,108.7,9.46,341.6,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0.25,22.4,109.2,9,343.2,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0.5,22.4,92.9,7.8,341,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0.75,22.4,9.2,0.85,341.6,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0,22.9,123.1,10.57,411.9,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0.25,22.9,129.6,11.14,415.5,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0.5,22.9,130.5,11.2,415.5,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0.75,22.9,130.3,11.18,415.5,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,1,22.9,130.4,11.2,415.5,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0,19.7,155.2,14.14,343.8,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0.25,19.4,112.9,10.41,328.1,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0.5,19.1,126.6,11.72,327.7,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0.75,19,124.8,11.48,328.4,NA,NA,NA,
P22-158-T0-C,Tiedemans,158,2022,11:34,0,22.72,170.7,14.86,416.1,NA,NA,NA,
P22-158-T0-C,Tiedemans,158,2022,11:34,0.25,19.6,131.3,11.99,407.9,NA,NA,NA,
P22-158-T0-C,Tiedemans,158,2022,11:34,0.5,19.5,125.2,11.48,406.4,NA,NA,NA,
P22-164-S0-C,Strickers,164,2022,10:43,0,21.4,155.6,13.81,314.3,NA,NA,NA,
P22-164-S0-C,Strickers,164,2022,10:43,0.5,21.3,152.3,13.49,313.7,NA,NA,NA,
P22-164-T0-C,Tiedemans,164,2022,10:43,0,23.3,158.6,13.59,376.7,NA,NA,NA,
P22-164-T0-C,Tiedemans,164,2022,10:43,0.5,22.8,158.1,13.62,368.1,NA,NA,NA,
P22-164-T0-C,Tiedemans,164,2022,10:43,1,22.1,154.7,13.49,363.6,NA,NA,NA,
P22-171-S0-C,Strickers,171,2022,9:05,0,25.6,85.7,7.02,246.7,NA,NA,NA,
P22-171-S0-C,Strickers,171,2022,9:05,0.5,25.1,81.8,6.75,247.7,NA,NA,NA,
P22-171-S0-C,Strickers,171,2022,9:05,1,24.5,55.1,4.59,248.3,NA,NA,NA,
P22-171-T0-C,Tiedemans,171,2022,9:05,0,23.8,71,6,306.7,NA,NA,NA,
P22-171-T0-C,Tiedemans,171,2022,9:05,0.5,23.7,68.5,5.8,310.7,NA,NA,NA,
P22-171-T0-C,Tiedemans,171,2022,9:05,1,23.2,50.2,4.28,313.1,NA,NA,NA,
P22-173-E0-S,Elver,173,2022,2:22,0,29,137.5,10.56,200.6,NA,NA,NA,
P22-173-E0-S,Elver,173,2022,2:22,0.5,29,137.8,10.6,200.6,NA,NA,NA,
P22-173-E0-S,Elver,173,2022,2:22,1,26.7,130.5,10.46,201.2,NA,NA,NA,
P22-173-E0-S,Elver,173,2022,2:22,1.5,24.7,57.5,4.79,199.8,NA,NA,NA,
P22-173-L0-S,Lakeview,173,2022,12:27,0,27.5,185.7,14.63,641,NA,NA,NA,
P22-173-L0-S,Lakeview,173,2022,12:27,0.5,26.6,152.1,12.18,660,NA,NA,NA,
P22-173-L0-S,Lakeview,173,2022,12:27,1,26.2,140.6,11.58,663,NA,NA,NA,
P22-173-L0-S,Lakeview,173,2022,12:27,1.5,24.1,99.4,7.74,731,NA,NA,NA,
P22-173-L0-S,Lakeview,173,2022,12:27,2,22.5,62.1,5.37,824,NA,NA,NA,
